gem_name,gem_type,vaal_gem,type_origin,type_target
Ambush,skill,no,Superior,Anomalous
Ambush,skill,no,Superior,Divergent
Ambush,skill,no,Anomalous,Superior
Ambush,skill,no,Anomalous,Divergent
Ambush,skill,no,Divergent,Superior
Ambush,skill,no,Divergent,Anomalous
Ancestral Call Support,support,no,Superior,Anomalous
Ancestral Call Support,support,no,Superior,Divergent
Ancestral Call Support,support,no,Anomalous,Superior
Ancestral Call Support,support,no,Anomalous,Divergent
Ancestral Call Support,support,no,Divergent,Superior
Ancestral Call Support,support,no,Divergent,Anomalous
Ancestral Cry,skill,no,Superior,Anomalous
Ancestral Cry,skill,no,Superior,Divergent
Ancestral Cry,skill,no,Anomalous,Superior
Ancestral Cry,skill,no,Anomalous,Divergent
Ancestral Cry,skill,no,Divergent,Superior
Ancestral Cry,skill,no,Divergent,Anomalous
Ancestral Protector,skill,no,Superior,Anomalous
Ancestral Protector,skill,no,Superior,Divergent
Ancestral Protector,skill,no,Superior,Phantasmal
Ancestral Protector,skill,no,Anomalous,Superior
Ancestral Protector,skill,no,Anomalous,Divergent
Ancestral Protector,skill,no,Anomalous,Phantasmal
Ancestral Protector,skill,no,Divergent,Superior
Ancestral Protector,skill,no,Divergent,Anomalous
Ancestral Protector,skill,no,Divergent,Phantasmal
Ancestral Protector,skill,no,Phantasmal,Superior
Ancestral Protector,skill,no,Phantasmal,Anomalous
Ancestral Protector,skill,no,Phantasmal,Divergent
Ancestral Warchief,skill,no,Superior,Anomalous
Ancestral Warchief,skill,no,Superior,Divergent
Ancestral Warchief,skill,no,Superior,Phantasmal
Ancestral Warchief,skill,no,Anomalous,Superior
Ancestral Warchief,skill,no,Anomalous,Divergent
Ancestral Warchief,skill,no,Anomalous,Phantasmal
Ancestral Warchief,skill,no,Divergent,Superior
Ancestral Warchief,skill,no,Divergent,Anomalous
Ancestral Warchief,skill,no,Divergent,Phantasmal
Ancestral Warchief,skill,no,Phantasmal,Superior
Ancestral Warchief,skill,no,Phantasmal,Anomalous
Ancestral Warchief,skill,no,Phantasmal,Divergent
Anger,skill,no,Superior,Anomalous
Anger,skill,no,Superior,Divergent
Anger,skill,no,Anomalous,Superior
Anger,skill,no,Anomalous,Divergent
Anger,skill,no,Divergent,Superior
Anger,skill,no,Divergent,Anomalous
Animate Guardian,skill,no,Superior,Anomalous
Animate Guardian,skill,no,Superior,Divergent
Animate Guardian,skill,no,Anomalous,Superior
Animate Guardian,skill,no,Anomalous,Divergent
Animate Guardian,skill,no,Divergent,Superior
Animate Guardian,skill,no,Divergent,Anomalous
Animate Weapon,skill,no,Superior,Anomalous
Animate Weapon,skill,no,Superior,Divergent
Animate Weapon,skill,no,Superior,Phantasmal
Animate Weapon,skill,no,Anomalous,Superior
Animate Weapon,skill,no,Anomalous,Divergent
Animate Weapon,skill,no,Anomalous,Phantasmal
Animate Weapon,skill,no,Divergent,Superior
Animate Weapon,skill,no,Divergent,Anomalous
Animate Weapon,skill,no,Divergent,Phantasmal
Animate Weapon,skill,no,Phantasmal,Superior
Animate Weapon,skill,no,Phantasmal,Anomalous
Animate Weapon,skill,no,Phantasmal,Divergent
Arc,skill,no,Superior,Anomalous
Arc,skill,no,Superior,Divergent
Arc,skill,no,Superior,Phantasmal
Arc,skill,no,Anomalous,Superior
Arc,skill,no,Anomalous,Divergent
Arc,skill,no,Anomalous,Phantasmal
Arc,skill,no,Divergent,Superior
Arc,skill,no,Divergent,Anomalous
Arc,skill,no,Divergent,Phantasmal
Arc,skill,no,Phantasmal,Superior
Arc,skill,no,Phantasmal,Anomalous
Arc,skill,no,Phantasmal,Divergent
Arcane Cloak,skill,no,Superior,Anomalous
Arcane Cloak,skill,no,Superior,Divergent
Arcane Cloak,skill,no,Anomalous,Superior
Arcane Cloak,skill,no,Anomalous,Divergent
Arcane Cloak,skill,no,Divergent,Superior
Arcane Cloak,skill,no,Divergent,Anomalous
Arcane Surge Support,support,no,Superior,Anomalous
Arcane Surge Support,support,no,Superior,Divergent
Arcane Surge Support,support,no,Anomalous,Superior
Arcane Surge Support,support,no,Anomalous,Divergent
Arcane Surge Support,support,no,Divergent,Superior
Arcane Surge Support,support,no,Divergent,Anomalous
Arcanist Brand,skill,no,Superior,Anomalous
Arcanist Brand,skill,no,Superior,Divergent
Arcanist Brand,skill,no,Superior,Phantasmal
Arcanist Brand,skill,no,Anomalous,Superior
Arcanist Brand,skill,no,Anomalous,Divergent
Arcanist Brand,skill,no,Anomalous,Phantasmal
Arcanist Brand,skill,no,Divergent,Superior
Arcanist Brand,skill,no,Divergent,Anomalous
Arcanist Brand,skill,no,Divergent,Phantasmal
Arcanist Brand,skill,no,Phantasmal,Superior
Arcanist Brand,skill,no,Phantasmal,Anomalous
Arcanist Brand,skill,no,Phantasmal,Divergent
Archmage Support,support,no,Superior,Anomalous
Archmage Support,support,no,Superior,Divergent
Archmage Support,support,no,Anomalous,Superior
Archmage Support,support,no,Anomalous,Divergent
Archmage Support,support,no,Divergent,Superior
Archmage Support,support,no,Divergent,Anomalous
Arctic Armour,skill,no,Superior,Anomalous
Arctic Armour,skill,no,Superior,Divergent
Arctic Armour,skill,no,Anomalous,Superior
Arctic Armour,skill,no,Anomalous,Divergent
Arctic Armour,skill,no,Divergent,Superior
Arctic Armour,skill,no,Divergent,Anomalous
Armageddon Brand,skill,no,Superior,Anomalous
Armageddon Brand,skill,no,Superior,Divergent
Armageddon Brand,skill,no,Anomalous,Superior
Armageddon Brand,skill,no,Anomalous,Divergent
Armageddon Brand,skill,no,Divergent,Superior
Armageddon Brand,skill,no,Divergent,Anomalous
Arrogance Support,support,no,Superior,Anomalous
Arrogance Support,support,no,Superior,Divergent
Arrogance Support,support,no,Anomalous,Superior
Arrogance Support,support,no,Anomalous,Divergent
Arrogance Support,support,no,Divergent,Superior
Arrogance Support,support,no,Divergent,Anomalous
Arrow Nova Support,support,no,Superior,Anomalous
Arrow Nova Support,support,no,Superior,Divergent
Arrow Nova Support,support,no,Anomalous,Superior
Arrow Nova Support,support,no,Anomalous,Divergent
Arrow Nova Support,support,no,Divergent,Superior
Arrow Nova Support,support,no,Divergent,Anomalous
Artillery Ballista,skill,no,Superior,Anomalous
Artillery Ballista,skill,no,Superior,Divergent
Artillery Ballista,skill,no,Anomalous,Superior
Artillery Ballista,skill,no,Anomalous,Divergent
Artillery Ballista,skill,no,Divergent,Superior
Artillery Ballista,skill,no,Divergent,Anomalous
Assassin's Mark,skill,no,Superior,Anomalous
Assassin's Mark,skill,no,Superior,Divergent
Assassin's Mark,skill,no,Anomalous,Superior
Assassin's Mark,skill,no,Anomalous,Divergent
Assassin's Mark,skill,no,Divergent,Superior
Assassin's Mark,skill,no,Divergent,Anomalous
Ball Lightning,skill,no,Superior,Anomalous
Ball Lightning,skill,no,Superior,Divergent
Ball Lightning,skill,no,Anomalous,Superior
Ball Lightning,skill,no,Anomalous,Divergent
Ball Lightning,skill,no,Divergent,Superior
Ball Lightning,skill,no,Divergent,Anomalous
Ballista Totem Support,support,no,Superior,Anomalous
Ballista Totem Support,support,no,Superior,Divergent
Ballista Totem Support,support,no,Superior,Phantasmal
Ballista Totem Support,support,no,Anomalous,Superior
Ballista Totem Support,support,no,Anomalous,Divergent
Ballista Totem Support,support,no,Anomalous,Phantasmal
Ballista Totem Support,support,no,Divergent,Superior
Ballista Totem Support,support,no,Divergent,Anomalous
Ballista Totem Support,support,no,Divergent,Phantasmal
Ballista Totem Support,support,no,Phantasmal,Superior
Ballista Totem Support,support,no,Phantasmal,Anomalous
Ballista Totem Support,support,no,Phantasmal,Divergent
Bane,skill,no,Superior,Anomalous
Bane,skill,no,Superior,Divergent
Bane,skill,no,Anomalous,Superior
Bane,skill,no,Anomalous,Divergent
Bane,skill,no,Divergent,Superior
Bane,skill,no,Divergent,Anomalous
Barrage,skill,no,Superior,Anomalous
Barrage,skill,no,Superior,Divergent
Barrage,skill,no,Superior,Phantasmal
Barrage,skill,no,Anomalous,Superior
Barrage,skill,no,Anomalous,Divergent
Barrage,skill,no,Anomalous,Phantasmal
Barrage,skill,no,Divergent,Superior
Barrage,skill,no,Divergent,Anomalous
Barrage,skill,no,Divergent,Phantasmal
Barrage,skill,no,Phantasmal,Superior
Barrage,skill,no,Phantasmal,Anomalous
Barrage,skill,no,Phantasmal,Divergent
Barrage Support,support,no,Superior,Anomalous
Barrage Support,support,no,Superior,Divergent
Barrage Support,support,no,Anomalous,Superior
Barrage Support,support,no,Anomalous,Divergent
Barrage Support,support,no,Divergent,Superior
Barrage Support,support,no,Divergent,Anomalous
Battlemage's Cry,skill,no,Superior,Anomalous
Battlemage's Cry,skill,no,Superior,Divergent
Battlemage's Cry,skill,no,Anomalous,Superior
Battlemage's Cry,skill,no,Anomalous,Divergent
Battlemage's Cry,skill,no,Divergent,Superior
Battlemage's Cry,skill,no,Divergent,Anomalous
Bear Trap,skill,no,Superior,Anomalous
Bear Trap,skill,no,Superior,Divergent
Bear Trap,skill,no,Superior,Phantasmal
Bear Trap,skill,no,Anomalous,Superior
Bear Trap,skill,no,Anomalous,Divergent
Bear Trap,skill,no,Anomalous,Phantasmal
Bear Trap,skill,no,Divergent,Superior
Bear Trap,skill,no,Divergent,Anomalous
Bear Trap,skill,no,Divergent,Phantasmal
Bear Trap,skill,no,Phantasmal,Superior
Bear Trap,skill,no,Phantasmal,Anomalous
Bear Trap,skill,no,Phantasmal,Divergent
Behead Support,support,no,Superior,Anomalous
Behead Support,support,no,Superior,Divergent
Behead Support,support,no,Anomalous,Superior
Behead Support,support,no,Anomalous,Divergent
Behead Support,support,no,Divergent,Superior
Behead Support,support,no,Divergent,Anomalous
Berserk,skill,no,Superior,Anomalous
Berserk,skill,no,Superior,Divergent
Berserk,skill,no,Anomalous,Superior
Berserk,skill,no,Anomalous,Divergent
Berserk,skill,no,Divergent,Superior
Berserk,skill,no,Divergent,Anomalous
Blade Blast,skill,no,Superior,Anomalous
Blade Blast,skill,no,Superior,Divergent
Blade Blast,skill,no,Superior,Phantasmal
Blade Blast,skill,no,Anomalous,Superior
Blade Blast,skill,no,Anomalous,Divergent
Blade Blast,skill,no,Anomalous,Phantasmal
Blade Blast,skill,no,Divergent,Superior
Blade Blast,skill,no,Divergent,Anomalous
Blade Blast,skill,no,Divergent,Phantasmal
Blade Blast,skill,no,Phantasmal,Superior
Blade Blast,skill,no,Phantasmal,Anomalous
Blade Blast,skill,no,Phantasmal,Divergent
Blade Flurry,skill,no,Superior,Anomalous
Blade Flurry,skill,no,Superior,Divergent
Blade Flurry,skill,no,Anomalous,Superior
Blade Flurry,skill,no,Anomalous,Divergent
Blade Flurry,skill,no,Divergent,Superior
Blade Flurry,skill,no,Divergent,Anomalous
Blade Trap,skill,no,Superior,Anomalous
Blade Trap,skill,no,Superior,Divergent
Blade Trap,skill,no,Anomalous,Superior
Blade Trap,skill,no,Anomalous,Divergent
Blade Trap,skill,no,Divergent,Superior
Blade Trap,skill,no,Divergent,Anomalous
Blade Vortex,skill,no,Superior,Anomalous
Blade Vortex,skill,no,Superior,Divergent
Blade Vortex,skill,no,Superior,Phantasmal
Blade Vortex,skill,no,Anomalous,Superior
Blade Vortex,skill,no,Anomalous,Divergent
Blade Vortex,skill,no,Anomalous,Phantasmal
Blade Vortex,skill,no,Divergent,Superior
Blade Vortex,skill,no,Divergent,Anomalous
Blade Vortex,skill,no,Divergent,Phantasmal
Blade Vortex,skill,no,Phantasmal,Superior
Blade Vortex,skill,no,Phantasmal,Anomalous
Blade Vortex,skill,no,Phantasmal,Divergent
Bladefall,skill,no,Superior,Anomalous
Bladefall,skill,no,Superior,Divergent
Bladefall,skill,no,Anomalous,Superior
Bladefall,skill,no,Anomalous,Divergent
Bladefall,skill,no,Divergent,Superior
Bladefall,skill,no,Divergent,Anomalous
Bladestorm,skill,no,Superior,Anomalous
Bladestorm,skill,no,Superior,Divergent
Bladestorm,skill,no,Superior,Phantasmal
Bladestorm,skill,no,Anomalous,Superior
Bladestorm,skill,no,Anomalous,Divergent
Bladestorm,skill,no,Anomalous,Phantasmal
Bladestorm,skill,no,Divergent,Superior
Bladestorm,skill,no,Divergent,Anomalous
Bladestorm,skill,no,Divergent,Phantasmal
Bladestorm,skill,no,Phantasmal,Superior
Bladestorm,skill,no,Phantasmal,Anomalous
Bladestorm,skill,no,Phantasmal,Divergent
Blasphemy Support,support,no,Superior,Anomalous
Blasphemy Support,support,no,Superior,Divergent
Blasphemy Support,support,no,Anomalous,Superior
Blasphemy Support,support,no,Anomalous,Divergent
Blasphemy Support,support,no,Divergent,Superior
Blasphemy Support,support,no,Divergent,Anomalous
Blast Rain,skill,no,Superior,Anomalous
Blast Rain,skill,no,Superior,Divergent
Blast Rain,skill,no,Superior,Phantasmal
Blast Rain,skill,no,Anomalous,Superior
Blast Rain,skill,no,Anomalous,Divergent
Blast Rain,skill,no,Anomalous,Phantasmal
Blast Rain,skill,no,Divergent,Superior
Blast Rain,skill,no,Divergent,Anomalous
Blast Rain,skill,no,Divergent,Phantasmal
Blast Rain,skill,no,Phantasmal,Superior
Blast Rain,skill,no,Phantasmal,Anomalous
Blast Rain,skill,no,Phantasmal,Divergent
Blastchain Mine Support,support,no,Superior,Anomalous
Blastchain Mine Support,support,no,Superior,Divergent
Blastchain Mine Support,support,no,Anomalous,Superior
Blastchain Mine Support,support,no,Anomalous,Divergent
Blastchain Mine Support,support,no,Divergent,Superior
Blastchain Mine Support,support,no,Divergent,Anomalous
Blazing Salvo,skill,no,Superior,Anomalous
Blazing Salvo,skill,no,Superior,Divergent
Blazing Salvo,skill,no,Anomalous,Superior
Blazing Salvo,skill,no,Anomalous,Divergent
Blazing Salvo,skill,no,Divergent,Superior
Blazing Salvo,skill,no,Divergent,Anomalous
Blight,skill,no,Superior,Anomalous
Blight,skill,no,Superior,Divergent
Blight,skill,no,Anomalous,Superior
Blight,skill,no,Anomalous,Divergent
Blight,skill,no,Divergent,Superior
Blight,skill,no,Divergent,Anomalous
Blind Support,support,no,Superior,Anomalous
Blind Support,support,no,Superior,Divergent
Blind Support,support,no,Anomalous,Superior
Blind Support,support,no,Anomalous,Divergent
Blind Support,support,no,Divergent,Superior
Blind Support,support,no,Divergent,Anomalous
Blink Arrow,skill,no,Superior,Anomalous
Blink Arrow,skill,no,Superior,Divergent
Blink Arrow,skill,no,Superior,Phantasmal
Blink Arrow,skill,no,Anomalous,Superior
Blink Arrow,skill,no,Anomalous,Divergent
Blink Arrow,skill,no,Anomalous,Phantasmal
Blink Arrow,skill,no,Divergent,Superior
Blink Arrow,skill,no,Divergent,Anomalous
Blink Arrow,skill,no,Divergent,Phantasmal
Blink Arrow,skill,no,Phantasmal,Superior
Blink Arrow,skill,no,Phantasmal,Anomalous
Blink Arrow,skill,no,Phantasmal,Divergent
Block Chance Reduction Support,support,no,Superior,Anomalous
Block Chance Reduction Support,support,no,Anomalous,Superior
Blood Rage,skill,no,Superior,Anomalous
Blood Rage,skill,no,Superior,Divergent
Blood Rage,skill,no,Anomalous,Superior
Blood Rage,skill,no,Anomalous,Divergent
Blood Rage,skill,no,Divergent,Superior
Blood Rage,skill,no,Divergent,Anomalous
Blood and Sand,skill,no,Superior,Anomalous
Blood and Sand,skill,no,Superior,Divergent
Blood and Sand,skill,no,Anomalous,Superior
Blood and Sand,skill,no,Anomalous,Divergent
Blood and Sand,skill,no,Divergent,Superior
Blood and Sand,skill,no,Divergent,Anomalous
Bloodlust Support,support,no,Superior,Anomalous
Bloodlust Support,support,no,Superior,Divergent
Bloodlust Support,support,no,Anomalous,Superior
Bloodlust Support,support,no,Anomalous,Divergent
Bloodlust Support,support,no,Divergent,Superior
Bloodlust Support,support,no,Divergent,Anomalous
Bloodthirst Support,support,no,Superior,Anomalous
Bloodthirst Support,support,no,Superior,Divergent
Bloodthirst Support,support,no,Anomalous,Superior
Bloodthirst Support,support,no,Anomalous,Divergent
Bloodthirst Support,support,no,Divergent,Superior
Bloodthirst Support,support,no,Divergent,Anomalous
Bodyswap,skill,no,Superior,Anomalous
Bodyswap,skill,no,Superior,Divergent
Bodyswap,skill,no,Superior,Phantasmal
Bodyswap,skill,no,Anomalous,Superior
Bodyswap,skill,no,Anomalous,Divergent
Bodyswap,skill,no,Anomalous,Phantasmal
Bodyswap,skill,no,Divergent,Superior
Bodyswap,skill,no,Divergent,Anomalous
Bodyswap,skill,no,Divergent,Phantasmal
Bodyswap,skill,no,Phantasmal,Superior
Bodyswap,skill,no,Phantasmal,Anomalous
Bodyswap,skill,no,Phantasmal,Divergent
Bone Offering,skill,no,Superior,Anomalous
Bone Offering,skill,no,Superior,Divergent
Bone Offering,skill,no,Anomalous,Superior
Bone Offering,skill,no,Anomalous,Divergent
Bone Offering,skill,no,Divergent,Superior
Bone Offering,skill,no,Divergent,Anomalous
Bonechill Support,support,no,Superior,Anomalous
Bonechill Support,support,no,Superior,Divergent
Bonechill Support,support,no,Anomalous,Superior
Bonechill Support,support,no,Anomalous,Divergent
Bonechill Support,support,no,Divergent,Superior
Bonechill Support,support,no,Divergent,Anomalous
Boneshatter,skill,no,Superior,Anomalous
Boneshatter,skill,no,Superior,Divergent
Boneshatter,skill,no,Anomalous,Superior
Boneshatter,skill,no,Anomalous,Divergent
Boneshatter,skill,no,Divergent,Superior
Boneshatter,skill,no,Divergent,Anomalous
Brand Recall,skill,no,Superior,Anomalous
Brand Recall,skill,no,Anomalous,Superior
Brutality Support,support,no,Superior,Anomalous
Brutality Support,support,no,Superior,Divergent
Brutality Support,support,no,Anomalous,Superior
Brutality Support,support,no,Anomalous,Divergent
Brutality Support,support,no,Divergent,Superior
Brutality Support,support,no,Divergent,Anomalous
Burning Arrow,skill,no,Superior,Anomalous
Burning Arrow,skill,no,Superior,Divergent
Burning Arrow,skill,no,Anomalous,Superior
Burning Arrow,skill,no,Anomalous,Divergent
Burning Arrow,skill,no,Divergent,Superior
Burning Arrow,skill,no,Divergent,Anomalous
Burning Damage Support,support,no,Superior,Anomalous
Burning Damage Support,support,no,Superior,Divergent
Burning Damage Support,support,no,Anomalous,Superior
Burning Damage Support,support,no,Anomalous,Divergent
Burning Damage Support,support,no,Divergent,Superior
Burning Damage Support,support,no,Divergent,Anomalous
Cast On Critical Strike Support,support,no,Superior,Anomalous
Cast On Critical Strike Support,support,no,Superior,Divergent
Cast On Critical Strike Support,support,no,Anomalous,Superior
Cast On Critical Strike Support,support,no,Anomalous,Divergent
Cast On Critical Strike Support,support,no,Divergent,Superior
Cast On Critical Strike Support,support,no,Divergent,Anomalous
Cast on Death Support,support,no,Superior,Anomalous
Cast on Death Support,support,no,Superior,Divergent
Cast on Death Support,support,no,Anomalous,Superior
Cast on Death Support,support,no,Anomalous,Divergent
Cast on Death Support,support,no,Divergent,Superior
Cast on Death Support,support,no,Divergent,Anomalous
Cast on Melee Kill Support,support,no,Superior,Anomalous
Cast on Melee Kill Support,support,no,Superior,Divergent
Cast on Melee Kill Support,support,no,Anomalous,Superior
Cast on Melee Kill Support,support,no,Anomalous,Divergent
Cast on Melee Kill Support,support,no,Divergent,Superior
Cast on Melee Kill Support,support,no,Divergent,Anomalous
Cast when Damage Taken Support,support,no,Superior,Anomalous
Cast when Damage Taken Support,support,no,Superior,Divergent
Cast when Damage Taken Support,support,no,Anomalous,Superior
Cast when Damage Taken Support,support,no,Anomalous,Divergent
Cast when Damage Taken Support,support,no,Divergent,Superior
Cast when Damage Taken Support,support,no,Divergent,Anomalous
Cast when Stunned Support,support,no,Superior,Anomalous
Cast when Stunned Support,support,no,Superior,Divergent
Cast when Stunned Support,support,no,Anomalous,Superior
Cast when Stunned Support,support,no,Anomalous,Divergent
Cast when Stunned Support,support,no,Divergent,Superior
Cast when Stunned Support,support,no,Divergent,Anomalous
Cast while Channelling Support,support,no,Superior,Anomalous
Cast while Channelling Support,support,no,Superior,Divergent
Cast while Channelling Support,support,no,Anomalous,Superior
Cast while Channelling Support,support,no,Anomalous,Divergent
Cast while Channelling Support,support,no,Divergent,Superior
Cast while Channelling Support,support,no,Divergent,Anomalous
Caustic Arrow,skill,no,Superior,Anomalous
Caustic Arrow,skill,no,Superior,Divergent
Caustic Arrow,skill,no,Anomalous,Superior
Caustic Arrow,skill,no,Anomalous,Divergent
Caustic Arrow,skill,no,Divergent,Superior
Caustic Arrow,skill,no,Divergent,Anomalous
Chain Hook,skill,no,Superior,Anomalous
Chain Hook,skill,no,Superior,Divergent
Chain Hook,skill,no,Anomalous,Superior
Chain Hook,skill,no,Anomalous,Divergent
Chain Hook,skill,no,Divergent,Superior
Chain Hook,skill,no,Divergent,Anomalous
Chain Support,support,no,Superior,Anomalous
Chain Support,support,no,Superior,Divergent
Chain Support,support,no,Anomalous,Superior
Chain Support,support,no,Anomalous,Divergent
Chain Support,support,no,Divergent,Superior
Chain Support,support,no,Divergent,Anomalous
Chance to Bleed Support,support,no,Superior,Anomalous
Chance to Bleed Support,support,no,Superior,Divergent
Chance to Bleed Support,support,no,Anomalous,Superior
Chance to Bleed Support,support,no,Anomalous,Divergent
Chance to Bleed Support,support,no,Divergent,Superior
Chance to Bleed Support,support,no,Divergent,Anomalous
Chance to Poison Support,support,no,Superior,Anomalous
Chance to Poison Support,support,no,Superior,Divergent
Chance to Poison Support,support,no,Anomalous,Superior
Chance to Poison Support,support,no,Anomalous,Divergent
Chance to Poison Support,support,no,Divergent,Superior
Chance to Poison Support,support,no,Divergent,Anomalous
Charged Dash,skill,no,Superior,Anomalous
Charged Dash,skill,no,Superior,Divergent
Charged Dash,skill,no,Anomalous,Superior
Charged Dash,skill,no,Anomalous,Divergent
Charged Dash,skill,no,Divergent,Superior
Charged Dash,skill,no,Divergent,Anomalous
Charged Mines Support,support,no,Superior,Anomalous
Charged Mines Support,support,no,Superior,Divergent
Charged Mines Support,support,no,Anomalous,Superior
Charged Mines Support,support,no,Anomalous,Divergent
Charged Mines Support,support,no,Divergent,Superior
Charged Mines Support,support,no,Divergent,Anomalous
Charged Traps Support,support,no,Superior,Anomalous
Charged Traps Support,support,no,Superior,Divergent
Charged Traps Support,support,no,Anomalous,Superior
Charged Traps Support,support,no,Anomalous,Divergent
Charged Traps Support,support,no,Divergent,Superior
Charged Traps Support,support,no,Divergent,Anomalous
Clarity,skill,no,Superior,Anomalous
Clarity,skill,no,Superior,Divergent
Clarity,skill,no,Anomalous,Superior
Clarity,skill,no,Anomalous,Divergent
Clarity,skill,no,Divergent,Superior
Clarity,skill,no,Divergent,Anomalous
Cleave,skill,no,Superior,Anomalous
Cleave,skill,no,Superior,Divergent
Cleave,skill,no,Superior,Phantasmal
Cleave,skill,no,Anomalous,Superior
Cleave,skill,no,Anomalous,Divergent
Cleave,skill,no,Anomalous,Phantasmal
Cleave,skill,no,Divergent,Superior
Cleave,skill,no,Divergent,Anomalous
Cleave,skill,no,Divergent,Phantasmal
Cleave,skill,no,Phantasmal,Superior
Cleave,skill,no,Phantasmal,Anomalous
Cleave,skill,no,Phantasmal,Divergent
Close Combat Support,support,no,Superior,Anomalous
Close Combat Support,support,no,Superior,Divergent
Close Combat Support,support,no,Anomalous,Superior
Close Combat Support,support,no,Anomalous,Divergent
Close Combat Support,support,no,Divergent,Superior
Close Combat Support,support,no,Divergent,Anomalous
Cluster Traps Support,support,no,Superior,Anomalous
Cluster Traps Support,support,no,Superior,Divergent
Cluster Traps Support,support,no,Anomalous,Superior
Cluster Traps Support,support,no,Anomalous,Divergent
Cluster Traps Support,support,no,Divergent,Superior
Cluster Traps Support,support,no,Divergent,Anomalous
Cobra Lash,skill,no,Superior,Anomalous
Cobra Lash,skill,no,Superior,Divergent
Cobra Lash,skill,no,Anomalous,Superior
Cobra Lash,skill,no,Anomalous,Divergent
Cobra Lash,skill,no,Divergent,Superior
Cobra Lash,skill,no,Divergent,Anomalous
Cold Penetration Support,support,no,Superior,Anomalous
Cold Penetration Support,support,no,Superior,Divergent
Cold Penetration Support,support,no,Anomalous,Superior
Cold Penetration Support,support,no,Anomalous,Divergent
Cold Penetration Support,support,no,Divergent,Superior
Cold Penetration Support,support,no,Divergent,Anomalous
Cold Snap,skill,no,Superior,Anomalous
Cold Snap,skill,no,Superior,Divergent
Cold Snap,skill,no,Anomalous,Superior
Cold Snap,skill,no,Anomalous,Divergent
Cold Snap,skill,no,Divergent,Superior
Cold Snap,skill,no,Divergent,Anomalous
Cold to Fire Support,support,no,Superior,Anomalous
Cold to Fire Support,support,no,Superior,Divergent
Cold to Fire Support,support,no,Anomalous,Superior
Cold to Fire Support,support,no,Anomalous,Divergent
Cold to Fire Support,support,no,Divergent,Superior
Cold to Fire Support,support,no,Divergent,Anomalous
Combustion Support,support,no,Superior,Anomalous
Combustion Support,support,no,Superior,Divergent
Combustion Support,support,no,Anomalous,Superior
Combustion Support,support,no,Anomalous,Divergent
Combustion Support,support,no,Divergent,Superior
Combustion Support,support,no,Divergent,Anomalous
Concentrated Effect Support,support,no,Superior,Anomalous
Concentrated Effect Support,support,no,Superior,Divergent
Concentrated Effect Support,support,no,Anomalous,Superior
Concentrated Effect Support,support,no,Anomalous,Divergent
Concentrated Effect Support,support,no,Divergent,Superior
Concentrated Effect Support,support,no,Divergent,Anomalous
Conductivity,skill,no,Superior,Anomalous
Conductivity,skill,no,Superior,Divergent
Conductivity,skill,no,Anomalous,Superior
Conductivity,skill,no,Anomalous,Divergent
Conductivity,skill,no,Divergent,Superior
